X,Y,CLASS
0.1563726,0.092374965,1
-0.816923519,0.717241676,0
0.233409606,0.097482935,1
1.180643033,-0.405442662,1
-0.641479479,0.236040791,0
-0.956151215,0.460049576,0
-0.274833528,0.572757559,1
-0.146584326,1.295964847,0
1.929607711,0.292490731,1
1.520614935,-0.608235979,1
1.599387138,-0.098759263,1
-0.468830732,-0.19417559,0
1.98148338,0.571528038,1
0.363350924,1.041584035,0
-0.758865285,0.906217097,0
-0.502878423,1.253611196,0
1.425279856,0.386856124,0
0.188147002,0.324205501,1
1.133100768,-0.371695186,1
1.169167021,0.210309166,0
0.195276695,0.269427045,0
-1.192561979,0.269187204,0
1.832335682,-0.800598637,1
1.091393589,0.232181298,0
-0.908349357,0.982336078,0
0.368906965,0.108479698,0
2.087780006,0.527294653,1
-0.237613261,1.15408074,0
1.716615834,0.118278856,1
0.273363948,0.191629815,1
-0.881319645,0.611681752,0
1.517961894,0.141477704,1
1.207468656,-0.052025536,1
-0.303026672,0.811042964,0
0.421760953,0.689802779,0
-0.138424712,0.814393637,0
-0.306133739,1.132447345,0
-0.313286159,0.282168237,1
-0.744877271,0.858694421,0
0.983692253,-0.907096343,1
1.09093603,-0.57153283,1
1.006190596,-0.383370761,1
0.316244435,-0.304734223,1
1.527265216,0.083272477,0
-0.105200017,0.763951435,0
0.867824916,-0.166426413,1
1.089280171,-0.192247246,1
0.038161858,-0.015673148,1
0.583327261,0.307276536,0
0.896048815,0.215760647,1
0.721992701,0.120553579,0
1.711634943,0.405048184,1
2.404232361,0.239437978,1
0.465208423,0.031506428,1
2.369953893,0.565091677,1
-0.429374186,0.729963175,0
-0.013994149,1.230186122,0
0.414259779,-0.496600153,1
1.117684247,-0.651514672,1
0.821599573,-0.370856844,1
0.14517595,0.343589091,1
0.4470231,1.279337213,1
-0.656751519,0.561478659,0
0.323535359,0.123907575,1
-0.380555344,1.036640562,0
1.363590717,-0.797526742,1
0.730149599,0.740973632,0
-0.107369534,-0.138146962,1
0.045126174,0.723947064,0
1.176687892,-0.444651673,1
1.49123541,0.162352433,1
0.744046124,0.634285979,0
-0.67326077,0.604053922,0
-1.039467217,0.690161056,0
0.655109859,1.273146332,0
-0.479320841,0.775876793,0
1.897576157,0.900675788,1
0.885790027,0.044754404,0
-0.583781745,0.90199886,0
1.04810531,0.873759208,0
0.435129727,0.244321423,1
0.443454808,0.85725065,0
1.991733863,-0.36994799,1
-0.931436346,0.880181857,0
0.732601754,0.434600099,0
0.029554642,0.319876013,1
1.887913331,0.799783319,1
1.04041049,-1.234421785,1
0.873427411,-0.372685593,1
2.162066848,0.030478458,1
1.654409448,-0.606008388,1
0.927128309,0.310075134,0
0.845204325,0.168692944,0
-0.107508959,1.01054881,0
2.12702876,0.509863093,1
-0.367921218,-0.044469011,1
0.49116743,0.896277684,0
2.152990129,-0.061470362,1
1.355065428,-0.974649698,1
-0.642694095,0.494507465,0
1.370857211,-0.837845361,1
0.865274797,0.766804474,0
-0.703958842,1.072705068,0
1.997895723,0.502358383,1
-1.112911004,0.793465852,0
-0.141948873,0.060167023,1
1.703475847,-0.267029352,1
-0.726971831,0.035882662,0
-0.536611886,1.111408029,0
0.780629442,-0.234813932,0
0.998469625,-0.534373174,1
0.001371225,-0.444533634,1
-0.820980725,0.000153275,0
1.169780881,0.505386455,0
0.270911195,-0.200583254,1
0.529090872,0.463874884,0
0.684836891,0.506934248,0
1.449817427,-0.817309339,1
1.151182797,-0.044999555,1
0.611417958,0.473958793,0
1.402813203,-0.433439758,1
0.078792404,0.566917704,1
0.694945947,-0.678047078,1
0.843996917,0.620957884,0
-0.187414764,1.083958941,0
-0.564160737,0.404188229,0
0.644143236,0.668234419,0
0.54536813,-1.070541962,1
0.169118252,1.491375274,0
0.633842,-0.538826841,1
0.812397969,-0.843631311,1
0.667016713,1.029804338,0
-0.313931221,0.385177343,1
0.31847885,-0.812162364,1
1.792390657,-0.17360831,1
2.062300147,-0.235309114,1
0.394637995,1.400587478,0
0.955312871,-0.289229677,1
0.61786163,-0.484974875,1
0.727885638,0.815348388,0
1.305876388,0.773910536,0
-1.016861605,1.01708072,0
0.684442508,1.19374779,0
0.720989293,0.7816163,0
-0.782358852,0.021215659,0
1.164142674,0.262270905,0
1.553053006,-0.580423836,1
-1.305254503,0.129491113,0
0.317001488,-0.073626034,1
-0.495788715,0.900269431,0
1.795872908,0.280207821,1
-1.108370574,0.04663668,0
1.029368458,-0.515702072,1
0.108845846,0.134572923,1
1.651733409,-0.198068264,1
0.450196454,1.063030587,0
-0.26869963,1.111235645,0
0.035268096,0.416981895,1
0.179553306,0.165890366,1
-0.521068722,0.961075478,0
0.062691864,-0.449655433,1
-1.063278017,0.585065888,0
1.585759969,0.123822666,1
1.894859791,-0.142345581,1
-0.655524068,0.211605827,0
0.743101325,0.013884487,1
-1.478862575,0.313342249,0
2.420147759,0.282474486,1
1.553545511,-0.605270728,1
0.27309129,0.83861153,0
1.706959595,0.10572345,1
-0.006875365,0.90711361,1
0.308226608,-0.415678634,1
0.371692687,-0.518048854,1
-0.711799955,0.485473251,0
0.799066997,-0.546681269,1
-0.83645077,0.013770003,0
-0.419868676,0.478686309,0
1.618590497,0.063258848,1
-0.596111689,1.06659852,0
0.515733321,0.092262997,1
0.377928812,0.884872426,0
-1.024153543,1.296752646,0
-0.740518068,0.476715757,0
1.119942774,-0.295880782,1
-0.439112524,0.066294537,0
-0.169708443,0.840324834,1
2.031751215,0.151729995,1
1.531238094,0.727036401,1
-0.043298953,1.055337777,0
-1.00668737,0.405137824,0
0.965225564,-0.78508643,1
1.233240549,-0.175879661,1
0.746659147,0.143282448,0
-0.191929324,0.445602475,0
1.178491342,-1.034923465,1
0.959949778,0.748463983,0
0.078423996,-0.700433835,1
-0.894182341,1.031376006,0
0.14131823,0.584929628,0
2.065375446,-0.016799429,1
1.348994217,0.329014388,0
2.467477938,-0.190283023,1
0.641168654,-0.77140125,1
0.050824627,1.238078289,0
0.514475905,0.105905322,1
1.231850361,-0.492712803,1
1.930710045,-0.161974241,1
2.004849424,0.624097006,1
-0.875075049,-0.109699691,0
1.978034613,-0.500697184,1
1.191778491,0.059438944,0
0.792458495,-0.229253207,1
0.388003719,0.726221096,0
1.071706942,0.197377569,0
0.117481672,-0.535608369,1
-0.934489552,0.851257577,0
1.747680429,0.132549503,1
-0.127306041,1.325511053,0
-0.997124504,1.176755062,0
-0.215101988,0.987664917,0
0.649233007,-0.049736416,1
0.440254499,0.48959275,1
2.147017772,0.175676493,1
0.541798824,-0.038150646,1
0.402753917,0.53254646,0
0.234867888,-0.605924213,1
-0.146664205,0.563207599,0
-0.062057651,0.828359985,0
0.070390817,-0.15757147,1
1.537278767,0.143155388,1
-0.6750366,0.617463945,0
-1.313885788,0.400769287,0
1.236814603,-0.13382877,1
0.732857416,1.1042318,0
0.133920552,-0.127822058,1
0.743277671,0.90264136,0
-1.024087349,0.387915366,0
0.533092838,0.453371604,1
0.020391807,0.946255478,0
0.70927104,0.737083108,0
-0.099661916,-0.118199188,1
0.139283884,0.17551484,1
-0.19269735,1.19665697,0
-0.621901354,0.160651691,0
0.764114806,0.02974457,0
-1.322759945,0.078399781,0
1.185054053,-0.653364021,1
0.66687181,0.142707761,1
0.670828716,0.328471429,0
1.982591411,-0.107159605,1
-0.635687862,0.875698427,0
-0.717293149,0.060674386,1
1.336096095,-0.20637076,1
-1.33128811,0.043089399,0
2.096006176,0.42625174,1
1.606416238,-0.893531072,1
0.873793787,0.151549284,0
0.663027802,-0.453784314,1
0.555775412,1.407812776,0
0.925419283,-0.007726381,0
-0.958855499,0.869334886,0
1.131490354,1.110237307,0
-0.780191135,0.673555256,0
0.941941843,0.879774265,0
1.142762822,0.521284739,0
0.408938171,0.457505105,0
2.065385054,0.079569593,1
0.852264337,0.492551397,0
-1.159609777,1.01294083,0
-0.575694552,0.432119781,0
2.236743748,-0.108542516,1
1.741027863,-0.917281605,1
1.760569697,-0.240533266,1
0.3147933,-0.647918371,1
0.401152655,-0.315666921,0
1.013972016,0.439864778,0
1.365925939,-0.039168729,0
-0.693577027,0.207504972,0
-0.621282845,0.753485685,0
1.363993109,-0.255706549,1
0.809001317,-0.690629184,1
0.157315649,0.854286092,0
0.632329799,0.531761578,0
0.546601937,0.249387035,1
1.539322047,0.123732826,1
1.226055546,-0.283581831,1
1.590670247,-0.073488844,1
0.115679355,0.472235393,1
2.22629396,0.090129952,1
0.520716645,-0.240713976,1
-0.013944455,0.949935878,0
-1.027958072,0.389355482,0
-0.985029619,-0.455258378,0
-0.943875907,0.949041859,0
0.410650525,-0.281285098,1
1.544395022,-0.528816028,1
-0.117618056,1.162640137,0
0.989949762,-0.182365046,1
0.218297197,0.283644072,0
